Date,Close,High,Low,Open,Volume,MA_5,MA_20,MA_60,RSI,Volatility,Volume_MA,MACD,MACD_Signal,MACD_Histogram,BB_Upper,BB_Middle,BB_Lower,BB_Width,BB_Position,Stoch_K,Stoch_D,Williams_R,Price_Change,Price_Change_5,Price_Change_20,Volume_Change,HL_Spread,CO_Spread
2020-04-13,1744.800048828125,1756.800048828125,1710.699951171875,1722.0,696,1697.6400146484375,1605.770001220703,1599.3700012207032,72.12545237128836,81.7677739571735,6518.35,30.53476818101808,14.781595192960824,15.753172988057257,1769.3055491350501,1605.770001220703,1442.234453306356,0.2036848960810423,0.9250759219648071,93.5760188098017,89.6948436823273,-6.4239811901983055,0.004953402775092375,0.06800520351154837,0.151151352534596,-0.15636363636363637,0.026421421576192986,0.013240446473940185
2020-04-14,1756.699951171875,1775.0,1739.5,1756.800048828125,675,1713.5800048828125,1619.3099975585938,1602.8316670735678,65.05461365192757,83.28069743386654,6542.45,35.897706197855314,19.004817949886306,16.892888247969008,1785.8713924263268,1619.3099975585938,1452.7486026908607,0.20571897304265993,0.9124303645583152,91.07314691310975,94.88305524097048,-8.926853086890244,0.006820209772313124,0.047525313757826426,0.18224639767712336,-0.030172413793103425,0.020208345754389272,-5.697726176451909e-05
2020-04-15,1727.199951171875,1744.9000244140625,1722.699951171875,1739.4000244140625,642,1726.0599853515625,1629.4249938964845,1605.6383321126302,64.73144140053861,83.49552549611231,6568.45,37.345202082775586,22.672895162757776,14.67230692001781,1796.4160448887092,1629.4249938964845,1462.4339429042598,0.20496930097149774,0.7927550808694025,76.68290301067073,87.11068957786074,-23.31709698932927,-0.016792850697309403,0.037481920058612506,0.13266438685745685,-0.04888888888888887,0.012853215533688001,-0.007013954852793129
2020-04-16,1720.4000244140625,1750.5999755859375,1715.0,1731.0,162,1737.0599853515625,1641.5799926757813,1608.3716654459636,61.29863097550353,77.67615977102254,6559.9,37.51279710478525,25.640875801215145,11.871921303570105,1796.9323122178264,1641.5799926757813,1486.2276731337363,0.18927170193981252,0.7536815413204985,73.36586556783537,80.37397183053861,-26.634134432164636,-0.0039369655801569925,0.03302509859116309,0.16455694006019805,-0.7476635514018692,0.02069284764051443,-0.006123613856694107
2020-04-17,1689.199951171875,1725.0,1684.9000244140625,1715.699951171875,223,1727.6599853515625,1652.1099914550782,1610.603330485026,60.328999019498426,68.10428811347404,6557.95,34.73526823474867,27.459754410514023,7.27551382423465,1788.3185676820262,1652.1099914550782,1515.9014152281302,0.1648904454684446,0.6361513376918287,58.14631764481707,69.39836207444107,-41.853682355182926,-0.018135359683463026,-0.027070614745886012,0.14243201613910572,0.3765432098765431,0.023739034303261918,-0.015445591160563767
2020-04-20,1701.5999755859375,1701.5999755859375,1680.0,1686.0,106,1719.019970703125,1662.989990234375,1612.8866638183595,62.18615761423909,56.17008426617472,6562.55,33.14951116183215,28.597705822135865,4.551805339696287,1775.3301587667245,1662.989990234375,1550.6498217020255,0.13510624741224897,0.6718440779285655,64.19511004192073,65.23576441819105,-35.804889958079265,0.007340767684405947,-0.0247593260162976,0.14663071131127858,-0.5246636771300448,0.012693920954306347,0.00925265455868179
2020-04-21,1678.199951171875,1707.0999755859375,1659.9000244140625,1697.0,666,1703.319970703125,1668.5499877929688,1614.6716634114584,65.221567007933,51.47584113594475,6593.3,29.66754891624828,28.811674450188082,0.8558744660601967,1771.5016700648582,1668.5499877929688,1565.5983055210793,0.12340257472066046,0.5468664676766585,52.78046398628049,58.37396389100609,-47.21953601371951,-0.013751777591560432,-0.04468606033012834,0.0709635936004307,5.283018867924528,0.028125344145621987,-0.011078402373674131
2020-04-22,1728.699951171875,1728.699951171875,1684.800048828125,1696.0,453,1703.619970703125,1671.9749877929687,1617.2033284505208,71.09616212527627,53.14288815880078,6593.85,30.619877205318517,29.17331501369393,1.4465621916245865,1778.2607641105703,1671.9749877929687,1565.689211475367,0.12713799798871442,0.7668511504747426,75.50261966765873,64.15939789861999,-24.49738033234127,0.030091765861830932,0.0008684576438195979,0.04126009035938605,-0.3198198198198198,0.02539474957119686,0.01928063158719045
2020-04-23,1733.300048828125,1745.0999755859375,1733.300048828125,1734.0,482,1706.1999755859374,1677.0249877929687,1619.938330078125,67.14469103145119,53.96674268493543,6594.15,31.3830233962874,29.615256702413298,1.7677666938741012,1784.9584731628395,1677.0249877929687,1569.0915024230978,0.12872018742179336,0.7606932447437915,73.13146630716739,67.13818332036887,-26.868533692832614,0.002661015668526945,0.007498270303998744,0.06187587880825629,0.06401766004415022,0.006807780779669607,-0.00040366272887831605
2020-04-24,1723.5,1744.0,1714.5,1744.0,221,1713.0599853515625,1680.6949890136718,1622.4999959309896,64.22687278853994,54.53215821035958,6605.05,30.843040832404768,29.860813533834857,0.9822272985699101,1789.759305434391,1680.6949890136718,1571.6306725929526,0.12978478204986432,0.6962374697385275,65.45941755012784,71.36450117498464,-34.54058244987216,-0.005653982895085452,0.020305499538008753,0.04448216805045324,-0.54149377593361,0.017116333043225993,-0.011754587155963303
2020-04-27,1711.9000244140625,1731.9000244140625,1711.9000244140625,1731.9000244140625,169,1715.1199951171875,1685.094989013672,1624.6399963378906,56.146534239666266,53.243361599052946,1581.6,29.144856502193306,29.717622124976575,-0.5727656227832689,1791.5817122117778,1685.094989013672,1578.608265815566,0.12638661190303013,0.6258609270496708,46.06839693509615,61.55309359746378,-53.93160306490385,-0.006730476116006634,0.006053155251473319,0.05419052815874692,-0.23529411764705888,0.011682925237906615,-0.011548010692341444
2020-04-28,1710.5,1716.5999755859375,1707.0999755859375,1716.5999755859375,1255,1721.5800048828125,1689.5199890136719,1626.7666625976562,58.36688664047959,51.368165432217936,824.9,27.370689785518152,29.248235650450216,-1.8775458649320633,1792.2563198781077,1689.5199890136719,1586.783658149236,0.1216159992571765,0.6021060943572727,43.96176048548148,51.82985832356848,-56.038239514518516,-0.0008178190280367925,0.01924684171607205,0.05456226880394577,6.42603550295858,0.005553931598947676,-0.0035535218878558813
2020-04-29,1703.4000244140625,1713.5,1702.0,1710.0,373,1716.52001953125,1695.5199890136719,1628.8699971516928,56.795419658028614,44.9246670453971,699.85,25.103278158371268,28.419244142660336,-3.3159659842890683,1785.369323104466,1695.5199890136719,1605.6706549228777,0.10598439968031503,0.5438513845435278,37.79323130048924,42.60779624035561,-62.20676869951076,-0.004150818816683666,-0.014635233107203938,0.075786281514304,-0.7027888446215139,0.006751203378640189,-0.0038596348455774854
2020-04-30,1684.199951171875,1719.300048828125,1680.800048828125,1719.300048828125,327,1706.7,1700.8199890136718,1631.0999959309895,38.59650343884552,35.65082153862199,608.3,21.511466561523093,27.037688613934986,-5.526222052411892,1772.121632090916,1700.8199890136718,1629.5183459364277,0.08384384419022833,0.3834526307914697,21.112017299838055,34.28900302860291,-78.88798270016196,-0.011271617334156159,-0.028327523379143904,0.06716512690378096,-0.1233243967828418,0.022859518534727126,-0.02041534151073527
2020-05-01,1694.5,1701.5,1670.5,1686.5999755859375,337,1700.9,1704.259991455078,1633.378328450521,39.05093468473256,31.04232279954932,560.45,19.272687746234624,25.48468842915584,-6.212000682921218,1766.3446370541767,1704.259991455078,1642.1753458559795,0.07285818585237273,0.42139770340237087,30.060801846221068,29.655350148849447,-69.93919815377893,0.006115692392080874,-0.016826225703510334,0.04232026259121868,0.030581039755351647,0.01829448214812629,0.004683994147051954
2020-05-04,1706.9000244140625,1709.0,1699.5999755859375,1702.5999755859375,320,1699.9,1707.9199951171875,1635.7416625976562,39.18334967475359,26.226973102394737,544.3,18.286860719190827,24.045122878828323,-5.758262159637496,1760.3739413219769,1707.9199951171875,1655.466048912398,0.06142435987019443,0.4902774645482076,51.819212020231106,34.330677055430066,-48.18078797976889,0.007317807267077203,-0.0029207313094766763,0.0448063141519226,-0.05044510385756673,0.0055070738060884975,0.0025255778748881803
2020-05-05,1704.4000244140625,1704.4000244140625,1697.199951171875,1701.5,82,1698.6800048828125,1709.2899963378907,1638.0049967447917,44.38979056443614,25.223249793718768,495.25,17.106879677286997,22.65747423209291,-5.550594554805912,1759.7364959253282,1709.2899963378907,1658.8434967504531,0.05902626200997823,0.4515330898692731,49.0628709553252,43.64762827392578,-50.9371290446748,-0.0014646434848216705,-0.0035661944378471144,0.016338714617807115,-0.74375,0.004224403390666893,0.0017043928381207758
2020-05-06,1684.199951171875,1704.0,1684.199951171875,1704.0,469,1694.839990234375,1710.259991455078,1639.8299967447917,41.64358362953825,23.752419709904736,461.5,14.377869356013662,21.0015532507413,-6.6236838947276375,1757.7648308748876,1710.259991455078,1662.7551520352686,0.05555276935338083,0.22571173167321512,28.521057140974097,43.13438003884346,-71.47894285902589,-0.01185172081250807,-0.011271617334156159,0.011652992416359975,4.719512195121951,0.011756352809740925,-0.01161974696486209
2020-05-07,1721.800048828125,1721.800048828125,1685.5999755859375,1686.199951171875,853,1702.360009765625,1713.0799926757813,1642.433331298828,57.309422931651724,21.375194111757185,466.8,15.072155396383323,19.81567367635443,-4.743518279971106,1755.8303808992957,1713.0799926757813,1670.329604452267,0.049910556899026674,0.6019880346671014,72.65265245186673,50.078860182721996,-27.347347548133268,0.022325198163132498,0.022325198163132498,0.03386575212397136,0.8187633262260128,0.021024551176442145,0.021112619313924573
2020-05-08,1709.9000244140625,1728.9000244140625,1703.800048828125,1726.199951171875,330,1705.4400146484375,1711.7649963378906,1644.808331298828,51.865175418768835,20.675532135838697,442.05,14.495959769604497,18.751730892481387,-4.25577112287689,1753.116060609568,1711.7649963378906,1670.4139320662132,0.04831395005756383,0.4774495293328465,58.68547964204149,53.286396411627436,-41.3145203579585,-0.006911385803573311,0.009088241023347488,-0.01514798266182471,-0.6131301289566237,0.014679206519421274,-0.009442664360375446
2020-05-11,1695.300048828125,1704.5,1690.199951171875,1702.300048828125,749,1703.12001953125,1709.2899963378907,1646.8116658528645,54.00095051278566,19.43862440493804,444.7,12.71570063316517,17.54452483832791,-4.828824205162739,1748.1672451477668,1709.2899963378907,1670.4127475280145,0.04548935393428811,0.3200753919319036,33.24404416132268,54.86072541841029,-66.75595583867732,-0.008538496624058811,-0.006795931466413552,-0.0283700129612251,1.2696969696969695,0.008435113794758572,-0.004112083533580844
2020-05-12,1704.4000244140625,1713.0999755859375,1699.300048828125,1699.300048828125,324,1703.12001953125,1706.675,1648.840000406901,42.948384148609435,15.92546148629975,427.15,11.901309202068887,16.415881709363152,-4.514572507294265,1738.5259229725993,1706.675,1674.8240770274006,0.03732511810696166,0.46428713246560294,45.44240684772133,45.79064355036183,-54.55759315227867,0.005367766957965925,0.0,-0.029771690221157998,-0.5674232309746328,0.008096647829230481,0.0030012213496107155
2020-05-13,1713.9000244140625,1721.300048828125,1701.9000244140625,1702.0,431,1709.0600341796876,1706.0100036621093,1650.7383341471354,44.52596228364764,15.288229221870326,416.6,11.884857544789384,15.509676875348115,-3.624819330558731,1736.58646210585,1706.0100036621093,1675.4335452183686,0.03584557930856845,0.6290211678123304,59.04765226403062,45.91136775769153,-40.95234773596938,0.005573808885191767,0.017634529214611394,-0.007700282036708472,0.3302469135802468,0.011319227573203904,0.006991788727416275
2020-05-14,1738.0999755859375,1743.0999755859375,1720.5,1724.300048828125,672,1712.32001953125,1706.895001220703,1652.915000406901,53.810010136411506,16.619421564011986,442.1,13.665595713085395,15.140860642537326,-1.4752649294519316,1740.133844348727,1706.895001220703,1673.656158092679,0.0389465586392284,0.9694052414075329,93.1129453424107,65.86766815138755,-6.887054657589295,0.01411981494086767,0.00946679422439689,0.010288276517493866,0.5591647331786542,0.013002690238413205,0.008003204991608772
2020-05-15,1753.4000244140625,1753.4000244140625,1739.699951171875,1739.699951171875,719,1721.02001953125,1710.1050048828124,1655.195001220703,60.62466404150259,19.044847631858808,466.9,16.124697397893442,15.337627993761451,0.7870694041319908,1748.19470014653,1710.1050048828124,1672.0153096190948,0.04454661573992389,1.0683298229546452,100.0,84.05353253548043,-0.0,0.00880274382546209,0.025440083852215967,0.038006201218304,0.06994047619047628,0.007813432788542183,0.007874963284880836
2020-05-18,1731.800048828125,1770.5,1731.800048828125,1755.699951171875,229,1728.32001953125,1711.615008544922,1656.6483357747395,54.94200108985158,19.52617055235064,473.05,16.145546666549535,15.499211728419516,0.6463349381300194,1750.6673496496232,1711.615008544922,1672.5626674402206,0.04563215549027056,0.7584357264150432,61.300048828125,84.80433139017856,-38.699951171875,-0.01231890913949063,0.021530112044313654,0.017748045178355376,-0.6815020862308763,0.022346662478767394,-0.013612748765982228
2020-05-19,1744.199951171875,1749.5,1744.199951171875,1744.199951171875,167,1736.2800048828126,1714.9150085449219,1657.8450012207031,59.239106698105644,19.155276611375466,448.1,16.96646720865806,15.792662824613164,1.173804384044896,1753.2255617676728,1714.9150085449219,1676.604455322171,0.04467924419794642,0.8822046428914797,73.699951171875,78.33333333333333,-26.300048828125,0.007160123567464316,0.023351282672912976,0.03932785241348191,-0.2707423580786026,0.003038670437161782,0.0
2020-05-20,1750.5999755859375,1752.0999755859375,1745.5999755859375,1751.5999755859375,16,1743.6199951171875,1716.010009765625,1659.5733337402344,65.96153496285368,20.559259016868324,426.25,17.926539041928663,16.21943806824606,1.7071009736826035,1757.1285277993616,1716.010009765625,1674.8914917318884,0.04792340114537279,0.9206129923254095,80.0999755859375,71.69999186197916,-19.9000244140625,0.0036693180789062474,0.021413122497866643,0.012668493684642401,-0.9041916167664671,0.0037130127331484776,-0.0005709066076376739
2020-05-21,1720.5,1746.800048828125,1720.5,1746.800048828125,528,1740.1,1715.3700073242187,1660.915000406901,55.70675909284308,20.188587179984523,428.55,16.074464684079885,16.190443391403598,-0.11597870732371263,1755.7471816841878,1715.3700073242187,1674.9928329642496,0.047076927062462616,0.5635258999310672,42.06260520248384,65.28751065343211,-57.93739479751616,-0.017194091172006765,-0.010125985750620736,-0.007384785361760682,32.0,0.015286282376126127,-0.015056130119625828
2020-05-22,1734.5999755859375,1734.5999755859375,1726.5999755859375,1726.5999755859375,6,1736.339990234375,1715.9250061035157,1662.4916666666666,56.03484774986383,20.572767410611014,417.8,15.564491032606838,16.06525291961237,-0.500761887005531,1757.0705409247378,1715.9250061035157,1674.7794712822936,0.04795726465302171,0.7269379844443002,58.40092224563984,60.18783434468705,-41.59907775436016,0.008195277876162477,-0.010722053476876936,0.006440368776291061,-0.9886363636363636,0.004612014362157274,0.004633383593837435
2020-05-26,1704.800048828125,1726.4000244140625,1704.800048828125,1726.4000244140625,39,1730.939990234375,1715.5700073242188,1664.8366678873697,50.07788639566859,20.706698806505873,411.3,12.611357470504117,15.374473829650004,-2.7631163591458865,1756.9834049372305,1715.5700073242188,1674.156609711207,0.04827946097939119,0.3699701169566691,23.87031981555087,41.44461575455818,-76.12968018444913,-0.017179711274783238,-0.015590714423567742,-0.004147424198073457,5.5,0.012670093246879753,-0.012511570482205303
2020-05-27,1710.300048828125,1710.300048828125,1685.5999755859375,1685.5999755859375,137416,1724.160009765625,1715.560009765625,1666.8033345540364,55.39035800254326,20.70932363512558,7219.35,10.59250725176571,14.418080513917289,-3.825573262151579,1756.978657035876,1715.560009765625,1674.1413624953739,0.048285862382522644,0.4365025020834285,29.093128550498133,37.12145687056294,-70.90687144950188,0.003226184797320286,-0.01943578906820498,-0.00011689632965505847,3522.4871794871797,0.014441953187753029,0.014653579496879987
2020-05-28,1713.300048828125,1727.800048828125,1705.0,1709.300048828125,23355,1716.7000244140625,1716.0550109863282,1667.9900024414062,47.95180481904746,20.520833160707014,8368.45,9.129304639222255,13.360325338840381,-4.231020699618126,1757.096677307742,1716.0550109863282,1675.0133446649143,0.04783257653007826,0.46643700895782414,32.626696438969894,28.530048268339623,-67.37330356103011,0.0017540781818112805,-0.021306938922655894,0.005811919849812108,-0.8300416254293532,0.01330768002004082,0.0023401391714359047
2020-05-29,1736.9000244140625,1738.300048828125,1715.0999755859375,1718.800048828125,1526,1719.980029296875,1718.6900146484375,1669.586669921875,56.15876735550353,19.57696302130751,8428.4,9.760870678691845,12.640434406735592,-2.879563728043747,1757.8439406910525,1718.6900146484375,1679.5360886058224,0.04556252228023103,0.7325438545524825,60.42406840536534,40.714631131611114,-39.57593159463466,0.013774572411924924,0.00953212694801664,0.03129086496263023,-0.9346606722329266,0.013357172500480543,0.010530588242813952
